username,followers_count,final_location,count,x_id
journalist13655,17485,Iran,2,1288497585745950000
HasnainDreshak,17480,Pakistan,2,1084749002887890000
aqolizadeh,17473,VPN - Iran,16,818203818718593000
IraninBerlin,17415,Germany,1,1032918663203100000
sara_kaaf,17354,Iran,1,1334545870570870000
FadiMansour77,17324,United States,1,550407404
e_manavi,17242,Iran,1,801379361156985000
khodor_ad30,17153,Lebanon,1,924379048423448000
iamykamal98,17148,Pakistan,1,600972629
abubakar_mnazif,17129,Nigeria,1,847119216943796000
ImranistPK123,17127,North America,2,473961779
abaruah64,17050,India,1,29173795
JavadGheibi,17028,VPN - Iran,1,1020570320061760000
JustMeBeingMe4,16982,United Kingdom,8,187147866
kadileleD,16946,Namibia,2,472898688
MsJamshidi,16851,United States,6,1575987223
mostafavosogh,16757,West Asia,1,1425136742
_adultfeelings,16738,Africa,5,1100995567147200000
IRAN_GHANA,16728,Ghana,2,1912137242908170000
Sweeegu,16718,Nigeria,1,73517419
70sBachchan,16643,United States,2,2563372862
CdeNMaswerasei,16585,Namibia,4,1828091595754760000
autumnshade,16512,India,1,8834252
IRAN_in_NL,16497,,1,1031859829026050000
IqrarAlee112,16493,Pakistan,2,1126463361389090000
laura8blum,16452,United Kingdom,1,1740741375971270000
sanjiva,16382,Sri Lanka,2,15332841
refigh_jalal,16330,Iran,3,735708053241090000
NadeemRamAli,16301,India,3,148722315
oxfordgirl,16217,United Kingdom,2,16850725
hosini80,16205,Iran,5,1405021081258360000
Rabiul_Islam11,16129,India,2,1038713089208680000
ali__altunkaya,15946,Qatar,1,1675550094
baran__wakilii,15919,VPN - Iran,5,934360058149958000
theLemniscat,15860,South Africa,10,294613911
GndemAnalizi,15777,Turkey,1,2480146212
RiazGilani,15760,Kenya,3,66075435
Ahmedalswarii,15756,West Asia,1,1065326599292300000
_Ain4SSw33ty_,15730,Indonesia,4,1146046641780040000
HS_Soleimani,15724,West Asia,6,1438386799
Nayere_n_d_81,15683,VPN - Iran,2,1247043476912560000
Iftykhan15,15661,United Kingdom,16,923842541602165000
MUHAMMADABUOUN,15646,Africa,2,1085406897514120000
hasanein_hadad,15628,Iran,1,2153516588
PHREUTERS,15614,Turkey,1,1313142331
IraninSerbia,15604,,3,1059860675516860000
osamabinjavaid,15547,Qatar,3,23121340
m_akbarzadeh5,15530,Iran,5,822730585357644000
LarryBoorstein,15518,United States,3,1231590638
MhmdRfdh,15468,Yemen,3,1492162683478680000
VviewSsonicMair,15457,United States,6,778045033828057000
IRANinSWEDEN,15366,Sweden,5,1072787867750100000
DrAliMatar,15355,Lebanon,1,467747041
gndzongana,15333,South Africa,2,1567575890313310000
kenmiryam,15296,Indonesia,3,64163139
kadirakaras,15296,Turkey,1,958957986
dan_murphy,15265,United Arab Emirates,1,27547277
huseini221,15158,Iraq,1,1144124669651540000
Arsha45914097,15098,West Asia,11,1504917463401740000
jennessie7,14944,United States,1,1848008952270710000
RiaziZeinab,14932,Iran,1,1146291014933670000
KateEmersonBri,14927,Australia,1,1695505166
MARCIELOARENAS,14903,Argentina,1,2749104844
aghel_ir,14812,West Asia,10,865983009102721000
jamesob,14785,United States,1,14262432
MBazmar1359,14748,West Asia,1,1279034688099760000
luigi_warren,14739,United States,1,2577053906
inzyrashid,14724,United Arab Emirates,5,38141698
ramonlopez54,14682,United States,1,424324418
LoudL,14663,France,2,127659284
Vandal_pizzosta,14648,Ghana,11,990739393
drkamranlawyer,14644,Iran,10,1411384534655020000
ShreyaOpines,14602,India,1,1341398505043210000
salmanrood,14590,Iran,15,806084201141387000
D_modaresian,14571,Iran,2,913084234289607000
shameensuleman,14535,United Kingdom,10,288278750
MendesOnca,14506,Brazil,7,1487514031
shangpal,14459,India,1,105052954
AlnsrRkn,14456,West Asia,1,1525244653682970000
kargadan,14453,North America,8,14638577
fer0314marq,14441,Colombia,3,1385992846021380000
A_MQQ_,14377,West Asia,1,1579426007651610000
rosendo_joe,14280,Canada,12,3351345863
MumtazBhattiDin,14156,Pakistan,2,1294526977433510000
brookebay21,14103,United Kingdom,1,294075128
DrSakriKaia,14041,North America,3,4537676657
Battersby1888,14035,United Kingdom,15,930520648245498000
MorenaMariaPa,14001,United States,2,1528774279764090000
as2imi,13914,Yemen,4,1379090106414430000
IRANinSalone,13869,,2,1262720048273260000
hoora_Eghbalian,13865,Iran,12,1580311279872450000
kensuke_yaoi,13843,Japan,2,1465325378759990000
OneQuantumLeap,13843,Web VPN United Kingdom,4,1249594507202620000
Saeedrmz24,13793,VPN - Iran,13,1538068888415420000
Amina_Nur_005,13763,Pakistan,2,1110769765004410000
Pingachoo,13751,United Kingdom,1,2995699426
egypttheBB2025,13701,North Africa,2,3104371112
okkucrypto,13682,East Asia,3,1321710642777090000
Sazar57,13584,VPN - Iran,2,1200867300703900000
pyrmontvillage,13554,Australia,12,14485447
MsRonnyB,13551,Australia,1,85795383
Abdulherphyz,13548,Nigeria,10,1243646353
Tayyebehmeshkia,13523,Iran,3,1024731737656630000
MehdiJami,13489,Georgia,1,48325221
ImReadinHere,13460,Europe,1,184130900
SaraNajmaii,13444,United States,1,26389639
kevinweke_,13426,Kenya,1,1229326553177300000
ajdemarang,13363,North America,2,806286061
nicci_eddy,13343,United States,3,1479125311459450000
Mukhtar_Jadban,13314,West Asia,4,1336374875326460000
MunibaKamal,13310,Pakistan,1,54289927
Zarkesh5,13295,VPN - Iran,4,853309095620882000
florintruth,13274,United States,1,908454082351743000
IRANinHUNGARY,13273,Hungary,6,1055818236359520000
Khushboosayys,13271,India,5,1214758474162140000
marcosvmf_,13266,Brazil,1,1470789843877780000
Keban_li_23,13234,Turkey,1,1334082569340670000
asmartbrunette1,13161,United States,12,1845543169779230000
fatemeh_sadat91,13160,Iran,2,1299276804696440000
baoshaoshan,13136,Australia,1,1434409473339110000
profsarahj,13132,Australia,1,156177513
TheBirmingham6,13121,United Kingdom,1,3907597939
Lukyluke311,13102,Europe,14,1203887463074340000
mhmdhsyn__,13068,VPN - Iran,1,1371774395706930000
Bublee_gee,13031,Pakistan,2,961488882
OwaisCheema9,13011,United Kingdom,1,1527826760221570000
Gharibabadi,12965,Starlink - Iran,1,1035232364950110000
abdu,12959,West Asia,2,5740092
DrDadabhoy,12922,United States,4,1068875149
fmahdipour,12904,Iran,6,3064789121
LavasaniMalihe,12854,West Asia,6,930498247470219000
ShabanaFaryal,12850,United States,1,108378919
emocionycambio,12831,Spain,2,2439711755
HiyaleeM,12789,Maldives,6,588247089
martinez_j7902,12711,United Kingdom,2,2015492655619220000
RhondaGarad,12672,Australia,1,1537368869815260000
FGhoddoussi,12636,United States,3,850414665926660000
hopeluta_,12610,Brazil,1,1139963297590060000
atorabi76_,12610,VPN - Iran,2,1310093856948520000
mortezagolpoor,12554,Iran,1,3014418428
aa77xxss,12507,Yemen,12,1317817137797470000
kwakuasanteb,12459,Ghana,2,1622449334
Fezhh_kh,12458,VPN - Iran,1,1291426846802960000
Alimokhtarzadeh,12446,Iran,7,2479541585
hassanq2014,12411,Yemen,2,2796073014
SicilianoSum,12386,Italy,1,720298583296061000
Sh110Kn,12386,Pakistan,2,458123828
Mahmut_Ak47,12283,Turkey,2,2323901535
Doc_m_7,12230,West Asia,1,1175049198057720000
MO21_ALI,12221,Iran,5,1634456821602680000
EliaBecks,12211,Afghanistan,1,1243689094129090000
Jangjouye,12199,East Asia,1,1173933267562550000
RealNickMugalli,12184,United States,3,1450300640480080000
zgdekli,12183,Turkey,8,446433858
giulianol,12178,Italy,2,141509471
midoo0,12153,United Kingdom,10,14327636
Abbas_Safari1,12145,Iran,1,1394963007990600000
Theignorantsoul,12141,India,1,2546168419
kabulii,12133,United Kingdom,6,23324344
Elii9964,12130,VPN - Iran,5,1475124163329380000
wamsha92s,12110,Pakistan,1,128208311
IronLady0012,12058,North America,1,1528796563677470000
xerxesss,12053,Iran,2,1687696020
sana_bano__313,12031,Iran,2,1220576071487300000
